Days from Infection,Counts
25,132
33,148
31,28
36,91
62,34
63,163
47,72
28,121
59,107
68,136
30,103
20,50
37,223
40,77
43,113
85,64
32,445
42,156
52,37
74,53
19,136
11,332
50,61
26,277
18,58
51,36
17,381
22,72
49,261
78,120
9,91
72,63
12,76
14,396
77,102
73,67
46,177
41,45
23,15
45,90
87,23
58,67
44,71
16,98
24,41
71,52
90,69
27,13
56,80
84,93
61,48
15,333
64,42
55,66
21,151
53,110
60,77
70,327
88,84
39,57
35,108
83,48
34,80
29,67
76,78
13,41
69,18
38,167
79,3
57,23
66,55
10,25
48,45
81,25
86,17
54,28
65,11
89,5
7,4
6,2
67,12
3,2
80,1
82,1
